timestamp,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
1970-01-14 10:01:13.218837,4177.308,4164.487,4280.385,4237.821,4226.795,4153.077,4168.974,4211.154,4219.231,4180.128,4571.667,4299.872,4366.795,4465.641
1970-01-14 10:01:13.218863,4174.487,4168.333,4282.949,4238.59,4229.744,4160.641,4172.564,4217.821,4222.949,4179.615,4574.744,4301.026,4368.077,4466.795
1970-01-14 10:01:13.218889,4168.462,4166.282,4279.359,4235.128,4226.154,4160.128,4167.308,4218.846,4221.667,4168.205,4571.923,4296.923,4365.897,4460.385
1970-01-14 10:01:13.231606,4162.949,4159.872,4271.667,4228.077,4224.615,4152.436,4156.282,4213.718,4215.769,4150.0,4564.744,4290.0,4361.026,4451.026
1970-01-14 10:01:13.231656,4160.385,4153.077,4264.487,4220.641,4221.795,4141.795,4144.615,4205.0,4208.59,4134.103,4556.538,4283.205,4355.0,4444.744
1970-01-14 10:01:13.231685,4161.026,4150.513,4261.282,4216.538,4207.821,4133.333,4137.051,4196.667,4203.718,4128.462,4551.154,4278.974,4350.641,4444.872
1970-01-14 10:01:13.246582,4163.846,4154.615,4263.462,4217.949,4185.513,4131.026,4136.41,4193.077,4203.205,4135.769,4550.897,4278.205,4350.385,4450.641
1970-01-14 10:01:13.246633,4167.308,4162.949,4269.615,4223.462,4175.641,4135.513,4142.179,4196.154,4206.667,4152.308,4555.0,4281.154,4354.231,4457.949
1970-01-14 10:01:13.246663,4170.513,4170.897,4277.179,4230.256,4200.385,4143.974,4150.641,4203.846,4212.308,4170.0,4561.41,4286.667,4360.385,4462.821
1970-01-14 10:01:13.246692,4172.949,4174.615,4283.205,4234.744,4259.872,4152.821,4157.564,4212.179,4217.308,4181.538,4567.949,4291.667,4366.026,4463.974
1970-01-14 10:01:13.260644,4174.359,4173.333,4285.256,4235.0,4325.769,4158.846,4160.897,4216.795,4219.359,4183.462,4573.205,4292.949,4369.615,4462.692
1970-01-14 10:01:13.260684,4174.231,4170.0,4283.077,4231.282,4357.051,4160.128,4160.0,4215.897,4218.462,4178.205,4576.154,4290.256,4370.385,4461.154
1970-01-14 10:01:13.263035,4172.949,4167.564,4278.846,4226.026,4330.256,4156.923,4156.154,4210.513,4215.513,4171.026,4575.769,4285.897,4368.974,4460.641
1970-01-14 10:01:13.263068,4171.41,4167.692,4274.744,4221.795,4260.128,4151.154,4150.641,4203.205,4212.179,4166.795,4571.667,4282.308,4366.154,4461.154
1970-01-14 10:01:13.277781,4170.641,4169.359,4271.795,4219.487,4191.923,4145.769,4145.385,4196.667,4209.615,4166.667,4564.872,4279.744,4362.821,4461.923
1970-01-14 10:01:13.277832,4170.385,4170.128,4270.256,4218.333,4167.051,4142.692,4142.308,4192.564,4207.949,4167.436,4558.077,4276.923,4359.103,4461.154
1970-01-14 10:01:13.277858,4169.872,4169.103,4270.128,4218.59,4190.128,4142.179,4142.692,4191.41,4206.795,4165.385,4554.103,4274.231,4355.769,4458.846
1970-01-14 10:01:13.277884,4169.359,4167.692,4271.795,4221.538,4228.846,4142.308,4146.026,4193.333,4205.897,4159.615,4555.0,4273.205,4354.231,4456.41
1970-01-14 10:01:13.290747,4170.385,4167.821,4275.385,4227.436,4245.385,4141.795,4149.615,4197.179,4205.641,4153.462,4559.744,4274.615,4355.897,4456.795
1970-01-14 10:01:13.290803,4173.333,4169.744,4278.974,4233.333,4229.231,4140.513,4150.513,4201.154,4207.051,4150.769,4565.769,4277.821,4359.744,4460.897
1970-01-14 10:01:13.290836,4176.923,4171.538,4280.385,4234.615,4200.513,4139.744,4147.692,4203.59,4210.513,4153.205,4569.744,4281.026,4363.462,4466.667
1970-01-14 10:01:13.290865,4179.615,4171.282,4278.59,4229.359,4186.667,4140.769,4143.333,4203.59,4215.128,4158.974,4570.641,4282.692,4364.872,4470.641
1970-01-14 10:01:13.305653,4179.487,4169.744,4274.487,4220.769,4195.897,4143.59,4140.897,4201.795,4218.59,4163.974,4568.974,4282.308,4364.359,4470.385
1970-01-14 10:01:13.305698,4177.308,4168.974,4270.769,4214.744,4216.282,4147.564,4142.308,4200.256,4219.359,4165.0,4567.051,4280.256,4364.103,4466.538
1970-01-14 10:01:13.305727,4175.256,4171.026,4270.641,4216.026,4233.205,4152.179,4147.436,4201.026,4218.205,4162.436,4567.051,4279.359,4366.667,4462.821
1970-01-14 10:01:13.321243,4176.538,4175.641,4274.872,4224.231,4243.077,4157.821,4154.359,4205.128,4217.051,4160.769,4569.487,4282.308,4372.436,4462.692
1970-01-14 10:01:13.321296,4181.282,4180.641,4281.41,4234.359,4251.282,4163.718,4160.641,4210.769,4217.692,4163.205,4572.949,4288.205,4378.718,4466.923
1970-01-14 10:01:13.321324,4186.538,4182.821,4285.897,4240.0,4260.385,4167.692,4163.462,4215.128,4219.744,4167.308,4574.744,4293.462,4381.41,4472.179
1970-01-14 10:01:13.323923,4187.949,4180.897,4285.128,4238.462,4265.385,4168.077,4161.667,4216.154,4221.538,4167.308,4573.59,4294.231,4377.949,4474.103
