Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
-20.494,-43.205,-322.077,-425.636,-23.216,-33.897,53.95,-75.866,-41.135,-23.577,-32.732,-26.145,-36.431,-26.654,-44.357,-38.283,19.35,-13.399,-21.265,-28.815,-57.585,-42.118,-42.744,-10.032,-93.326,-53.149,-22.165,-55.306,-180.888,2
-8.691,-47.26,-312.534,-418.038,-18.582,-32.839,21.621,-70.667,-40.07,-25.603,-32.699,-24.069,-37.419,-32.775,-38.165,-40.807,21.38,-9.287,-17.658,-24.688,-51.38,-41.564,-35.017,-3.362,-99.38,-51.559,-21.631,-56.788,-173.023,2
-6.633,-40.041,-308.635,-418.645,-10.879,-24.097,54.387,-58.301,-26.197,-15.331,-22.932,-18.922,-29.185,-24.546,-31.466,-34.618,30.58,2.506,-5.857,-13.905,-45.181,-33.837,-27.297,11.499,-129.507,-39.212,-12.9,-42.387,-174.899,2
-13.286,-39.488,-315.499,-419.763,-18.553,-25.61,49.21,-58.755,-31.294,-16.34,-21.885,-16.342,-26.082,-13.25,-35.021,-32.534,37.21,8.651,-5.339,-14.916,-53.333,-32.779,-30.344,9.95,-131.427,-42.247,-12.375,-46.443,-180.872,2
-8.15,-44.572,-292.129,-400.388,-13.411,-19.436,16.885,-51.524,-28.189,-10.689,-19.814,-12.227,-18.883,-2.991,-25.765,-31.99,46.394,21.45,-1.747,-9.778,-48.156,-28.135,-24.678,8.403,-111.315,-44.766,-13.899,-49.982,-167.371,2
-0.969,-42.478,-259.05,-380.007,0.947,-11.732,49.656,-46.861,-14.329,2.13,-12.109,-7.604,-10.668,-1.451,-18.054,-24.785,50.959,27.064,4.402,-2.595,-38.374,-21.447,-17.993,19.666,-117.864,-33.963,-7.225,-32.002,-142.1,2
-0.456,-31.165,-226.003,-370.406,-0.079,-13.257,82.394,-51.425,-15.851,1.103,-10.048,-6.572,-14.243,-15.794,-24.184,-21.687,41.174,11.667,1.324,-3.617,-43.459,-21.426,-20.024,26.306,-124.919,-29.318,-1.07,-13.527,-109.171,2
2.618,-18.838,-192.989,-348.518,-0.079,-2.998,50.036,-33.443,-12.249,4.688,-8.501,-5.541,-13.716,-25.512,-20.573,-22.69,34.473,6.02,1.323,-0.028,-40.854,-19.868,-15.906,31.403,-92.006,-28.777,0.98,-4.804,-76.274,2
5.69,-9.086,-160.009,-319.993,9.143,11.862,51.011,-14.454,1.083,16.467,-1.833,-3.486,-3.969,-18.314,-11.844,-17.031,42.635,18.31,6.957,8.169,-30.567,-14.725,-7.181,40.081,-69.372,-20.551,5.077,9.546,-43.41,2
4.147,-0.367,-131.159,-309.939,7.597,6.727,83.747,-28.272,-1.992,11.327,0.731,-1.433,-2.428,-19.833,-15.418,-13.941,45.154,19.316,6.438,5.087,-36.172,-14.198,-11.272,39.528,-89.283,-16.944,6.097,27.467,-31.071,2
