Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
21.035,48.283,81.418,50.016,31.174,33.626,-66.006,-5.39,11.216,33.84,31.912,15.894,24.606,24.075,40.666,4.249,21.881,28.498,17.313,29.566,-27.326,18.3,14.088,16.08,71.029,36.195,-59.859,71.613,42.28,4
22.551,32.865,60.845,34.085,23.458,25.908,-98.216,-7.946,5.057,23.56,21.634,8.706,11.773,10.219,36.014,-4.464,12.637,13.612,2.439,17.753,-34.471,9.06,1.266,4.793,59.687,21.815,-67.483,58.221,29.943,4
6.646,24.635,44.902,29.952,13.701,23.32,-130.393,11.529,7.613,22.512,16.489,3.574,4.589,-4.136,20.097,-10.607,4.428,5.914,-9.859,6.465,-38.023,-2.22,-6.932,1.202,61.165,12.571,-73.563,51.503,13.007,4
-5.143,13.852,18.217,26.336,0.367,11.002,-126.164,4.346,-3.153,9.169,4.689,-7.188,-5.149,-17.452,6.244,-23.405,-8.897,-4.338,-15.485,-2.251,-44.132,-12.976,-11.536,-5.972,36.513,0.263,-82.199,36.083,-16.208,4
1.01,-2.556,-9.465,7.354,1.391,-2.842,-93.25,-18.2,-12.883,-4.16,-7.098,-13.328,-11.804,-26.144,5.726,-31.578,-16.06,-12.531,-22.129,-7.372,-46.137,-16.037,-16.135,-12.626,14.959,-4.86,-86.728,21.19,-33.61,4
6.644,-6.651,-20.214,-5.973,13.173,3.309,-75.739,-11.01,-0.063,9.164,2.643,-5.118,-1.034,-15.871,16.991,-22.325,-3.236,0.802,-15.447,1.345,-36.87,-9.361,-13.557,-10.564,43.633,-0.244,-81.006,20.656,-40.749,4
-1.047,-5.62,-27.367,-9.553,1.377,5.867,-81.298,-4.851,6.597,15.303,8.788,-3.576,7.164,-2.023,15.949,-16.155,7.525,13.609,-3.136,8.004,-36.321,-4.741,-7.396,-6.455,50.762,0.78,-80.412,17.049,-57.614,4
-4.12,-11.25,-44.758,-17.741,-17.58,-8.483,-113.492,-18.678,-9.803,-4.18,-7.615,-12.794,-5.651,-4.583,0.564,-25.873,1.882,9.497,-10.305,-2.763,-44.481,-11.396,-8.925,-9.01,18.948,-3.831,-88.529,5.761,-79.074,4
12.278,0.032,-52.397,-4.915,1.393,-0.79,-145.654,-10.463,-9.281,-1.615,-2.997,-7.658,-5.645,-3.554,8.76,-23.798,2.393,11.024,-6.197,0.314,-33.166,-8.311,-6.867,-11.563,49.156,2.833,-78.706,19.588,-80.532,4
28.147,24.623,-43.124,24.291,21.371,18.678,-112.721,-6.866,2.511,18.367,19.548,6.694,9.73,2.598,25.145,-7.892,10.587,17.673,15.327,20.294,-15.714,12.19,7.996,-3.866,81.894,22.298,-57.623,45.184,-64.569,4
21.459,23.574,-39.494,19.144,2.907,5.852,-79.82,-36.573,-13.373,6.565,11.844,2.077,-0.014,-4.065,15.386,-10.958,7.503,15.606,11.725,19.249,-20.822,16.788,12.599,9.97,58.246,28.935,-59.102,40.015,-55.283,4
10.167,9.718,-40.479,-1.368,-3.244,-2.351,-112.016,-25.778,-22.581,-4.2,2.61,-4.073,-10.772,2.599,11.785,-17.607,9.545,22.763,3.004,12.057,-24.899,8.575,4.902,16.108,25.912,19.173,-67.24,28.192,-56.765,4
15.28,15.343,-37.877,5.806,18.789,18.656,-144.179,7.035,1.008,16.809,20.026,6.689,10.755,21.04,29.704,-6.831,21.318,31.449,16.321,21.779,-14.628,13.689,6.946,12.505,36.645,18.129,-61.025,38.41,-61.831,4
18.338,12.254,-49.623,0.677,9.036,11.465,-111.247,-19.612,4.593,17.305,14.371,6.17,17.917,9.236,23.014,-7.337,15.662,14.512,10.157,17.146,-21.274,8.04,1.304,2.759,20.727,12.988,-66.6,30.687,-78.163,4
6.025,-12.349,-71.09,-27.5,-15.564,-16.723,-85.521,-51.868,-15.392,-4.742,-7.161,-7.156,-0.032,-5.631,0.45,-22.698,1.814,-3.434,-11.882,-0.289,-35.597,-15.022,-16.628,-8.002,-8.496,-6.493,-83.439,7.09,-104.213,4
6.531,-9.775,-73.58,-23.887,5.457,-2.362,-117.711,-19.54,-1.032,11.145,9.753,1.561,9.702,16.404,11.208,-13.454,13.083,14.501,-2.137,12.006,-18.143,-6.81,-10.464,-7.482,15.079,-1.876,-74.647,14.768,-110.256,4
23.943,14.313,-67.359,1.752,36.19,30.428,-124.253,13.267,29.196,42.384,35.358,20.002,34.283,32.269,36.812,8.588,32.537,38.565,16.821,32.999,3.904,19.325,10.039,3.284,47.852,22.204,-54.08,33.709,-94.777,4
21.357,9.176,-80.612,-3.372,24.37,26.811,-91.341,2.495,20.969,33.12,25.589,13.835,25.027,16.356,36.263,2.944,26.357,30.329,9.632,23.744,-3.272,13.158,5.418,2.256,57.025,18.596,-59.661,21.38,-98.781,4
-0.181,-9.276,-93.851,-18.738,4.366,3.218,-98.422,-22.61,-1.593,8.496,6.608,-4.11,1.436,3.532,18.296,-17.038,8.4,12.368,-0.112,7.839,-14.027,-1.2,-5.858,-9.529,48.771,1.159,-74.97,2.915,-126.859,4
-4.279,-7.73,-90.171,-18.719,4.874,-6.519,-104.471,-24.637,-6.715,2.34,1.479,-9.741,-8.299,4.04,10.593,-21.632,5.318,10.819,-0.624,7.319,-14.525,2.9,-2.266,-11.569,24.644,1.67,-76.432,2.912,-134.416,4
0.848,-12.333,-91.106,-26.385,-1.791,-14.197,-102.83,-30.76,-16.442,-6.884,-7.744,-12.805,-17,-1.087,8.533,-24.172,4.288,9.271,-9.845,-0.373,-22.708,-6.325,-7.899,-9.508,-7.656,-2.43,-78.405,2.909,-121.474,4
-7.35,-34.35,-103.31,-46.851,-16.646,-30.064,-99.653,-53.783,-33.844,-22.246,-22.081,-22.526,-28.766,-15.943,-2.746,-34.906,-5.963,1.577,-24.18,-13.693,-30.369,-23.737,-22.748,-18.72,-26.091,-17.284,-87.548,-8.364,-128.013,4
-10.929,-43.537,-107.305,-55.001,-10.482,-33.108,-105.701,-56.803,-31.248,-19.15,-21.035,-23.016,-25.151,-20.537,-9.404,-35.896,-6.981,4.137,-24.668,-10.605,-24.191,-20.127,-21.188,-29.46,6.723,-17.267,-87.461,-18.09,-143.766,4
-3.745,-34.785,-103.099,-45.725,3.873,-19.755,-137.871,-33.693,-15.336,-6.323,-10.255,-11.21,-9.757,-0.537,3.926,-26.639,7.37,10.793,-16.958,-2.397,-19.044,-14.984,-15.02,-28.406,39.504,-14.688,-81.738,-17.047,-137.987,4
-6.303,-30.139,-101.971,-34.921,0.796,-15.124,-120.315,-32.634,-16.857,-6.829,-9.22,-10.174,-5.136,20.468,12.631,-24.563,16.072,11.807,-14.38,-2.395,-19.025,-21.117,-19.103,-21.717,21.021,-16.211,-83.705,-8.833,-127.091,4
-17.055,-28.06,-103.406,-33.349,-11.501,-22.281,-87.407,-53.094,-23.5,-12.97,-13.31,-18.361,-12.816,16.349,0.323,-26.075,14.519,15.381,-12.829,-0.343,-15.932,-17.509,-17.035,-21.183,-11.275,-10.559,-83.622,-3.701,-137.722,4
-16.526,-22.908,-104.328,-30.242,-12.001,-15.599,-119.595,-42.795,-13.231,-6.297,-7.661,-14.757,-8.704,5.062,-3.776,-21.951,11.431,15.878,-7.18,3.243,-10.281,-8.783,-8.308,-27.822,-1.018,-6.962,-76.366,-3.698,-150.392,4
-3.702,-16.226,-98.588,-22.527,0.306,1.323,-124.086,-16.112,0.103,6.517,1.056,-5.52,3.6,1.983,16.72,-18.343,6.808,6.128,-9.222,1.703,-5.148,-8.774,-9.837,-27.282,-2.042,-8.492,-73.216,-5.231,-138.971,4
2.45,-12.623,-87.731,-24.041,7.99,4.395,-91.174,-16.096,0.103,9.584,1.567,-8.076,1.547,-2.63,24.388,-19.349,2.191,-1.562,-15.361,1.189,-2.581,-9.79,-13.413,-15.984,-34.315,-4.898,-75.704,-7.275,-117.315,4
-14.459,-20.295,-98.402,-37.849,-3.288,-10.978,-103.89,-28.375,-7.582,-1.696,-10.217,-17.29,-12.287,-10.824,1.31,-26.502,-4.984,-6.684,-19.956,-8.546,-8.726,-15.415,-14.425,-20.067,-5.591,-10.528,-81.776,-12.903,-125.395,4
-30.326,-37.693,-125.968,-49.595,-21.728,-28.386,-136.062,-38.593,-18.845,-17.576,-25.064,-25.982,-25.595,-19.522,-17.134,-39.795,-16.762,-15.899,-31.719,-26.468,-18.451,-30.257,-26.705,-46.174,27.202,-29.473,-90.403,-28.259,-157.545,4
-22.099,-44.828,-129.428,-51.082,-24.78,-33.993,-108.261,-50.85,-29.073,-27.292,-29.65,-31.079,-32.741,-23.601,-9.945,-44.879,-17.77,-17.42,-39.372,-27.979,-19.97,-37.911,-36.925,-56.886,-5.101,-35.079,-93.899,-44.625,-163.022,4
-19.003,-40.172,-111.368,-43.346,-18.608,-29.861,-122.498,-48.237,-27.507,-25.216,-25.522,-29.511,-31.172,-17.43,-3.275,-38.686,-6.993,-9.205,-31.648,-19.754,-17.9,-32.238,-30.74,-42.997,-37.371,-29.921,-90.731,-41.506,-142.367,4
-30.255,-41.669,-111.256,-38.692,-21.151,-29.318,-154.651,-40.504,-23.381,-21.604,-28.058,-26.92,-28.067,-10.752,-13.006,-38.135,-8.011,-7.147,-31.104,-23.833,-19.419,-29.644,-27.636,-36.294,-20.94,-33.477,-90.641,-31.731,-142.737,4
-16.904,-45.726,-124.465,-44.289,-22.667,-32.363,-121.708,-50.71,-26.944,-23.12,-31.103,-26.381,-28.551,-11.766,-14.529,-40.146,-13.638,-6.628,-36.196,-24.833,-16.326,-31.664,-30.17,-41.893,-5.037,-34.468,-89.525,-33.749,-154.377,4
2.58,-36.459,-116.656,-44.757,-13.422,-25.671,-148.227,-53.221,-24.355,-16.949,-18.265,-17.645,-18.789,-10.73,2.391,-29.86,-4.916,-0.473,-25.402,-12.001,-6.576,-23.435,-21.943,-34.167,-6.057,-23.163,-80.214,-27.567,-145.002,4
