Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
-2.281,-56.536,-62.239,-22.757,-43.463,76.817,1.341,-3.756,5.429,6.447,11.259,-3.562,-1.693,-28.254,19.752,-4.719,-63.624,52.942,-12.203,19.814,61.709,-29.436,-25.607,-39.753,-30.423,-32.833,50.387,-69.786,-69.776,4
3.869,-46.233,-46.296,-6.853,-32.661,83.4,7.487,14.178,16.182,16.687,15.859,3.614,7.53,-37.448,25.368,-0.104,-69.195,55.45,-12.703,23.38,65.234,-23.771,-21.483,-34.077,-30.905,-24.603,63.144,-54.86,-55.361,4
6.939,-46.187,-44.712,0.838,-34.677,84.854,11.066,16.726,16.166,19.232,16.868,0.536,4.961,-43.045,24.318,1.433,-68.102,57.444,-12.178,20.795,72.341,-25.284,-22.999,-34.556,-34.972,-25.091,70.253,-55.317,-55.306,4
-2.801,-52.288,-53.889,-10.433,-50.524,76.06,-8.925,-4.296,1.293,6.405,5.068,-12.784,-6.314,-40.441,14.047,-7.79,-67.521,52.263,-13.702,15.651,70.731,-32.943,-29.636,-42.718,-40.06,-34.287,57.888,-67.557,-64.472,4
-7.409,-53.261,-47.175,-9.91,-57.134,70.86,-14.04,-10.439,-2.294,1.275,-1.597,-12.772,-6.82,-34.253,13.009,-10.856,-70.015,56.822,-11.64,18.197,69.636,-27.275,-26.02,-40.626,-37.459,-32.716,53.731,-66.465,-60.309,4
-3.303,-54.744,-37.394,-4.265,-56.564,73.351,-1.73,-7.355,-0.755,2.811,0.966,-8.148,-6.301,-28.583,17.607,-6.746,-66.359,67.011,-5.992,23.302,80.837,-21.1,-18.822,-31.364,-30.761,-26.535,62.899,-61.276,-54.101,4
-3.812,-58.276,-39.918,-11.945,-60.094,73.79,-12.487,-6.835,-8.439,-3.34,0.453,-10.702,-11.418,-28.042,16.564,-3.666,-58.608,67.969,-3.937,23.279,88.953,-20.054,-14.192,-26.21,-26.12,-23.435,64.885,-62.239,-54.047,4
-4.321,-60.779,-37.829,-12.446,-62.083,68.081,-22.208,-1.193,-10.992,-5.898,-0.06,-9.666,-9.357,-33.137,16.548,-3.662,-60.086,68.413,-3.421,21.206,86.303,-15.424,-13.153,-22.085,-20.97,-20.85,62.771,-61.152,-51.944,4
-9.44,-73.014,-39.841,-12.433,-69.193,59.304,0.868,-9.901,-8.932,-4.867,-4.671,-9.657,-11.91,-37.203,13.97,-8.269,-67.199,69.369,-8.541,17.599,83.143,-21.556,-21.337,-25.649,-25.048,-26.977,62.708,-68.775,-60.089,4
-23.263,-88.31,-59.269,-27.278,-79.882,52.072,12.65,-26.797,-13.021,-8.449,-12.351,-16.307,-21.119,-42.801,4.222,-16.458,-71.742,61.103,-20.315,9.384,79.986,-35.879,-33.099,-40.993,-43.466,-39.758,58.547,-90.224,-83.083,4
-19.141,-81.561,-67.406,-22.64,-68.019,61.241,-4.781,-8.327,-3.787,1.806,-1.068,-9.631,-12.389,-45.832,7.804,-11.831,-71.158,58.993,-19.27,10.912,82.467,-32.257,-32.041,-43.001,-49.058,-38.693,64.124,-90.646,-87.61,4
4.444,-58.938,-52.994,3.51,-42.336,79.111,-3.239,21.395,20.295,24.858,21.987,8.822,7.603,-32.978,23.678,5.6,-58.279,73.791,-1.833,25.758,98.779,-15.831,-18.689,-23.49,-30.566,-24.822,83.015,-64.427,-67.03,4
4.952,-51.707,-43.207,3.507,-37.683,77.495,18.281,15.226,21.3,27.907,21.965,9.326,9.645,-24.748,23.654,10.205,-52.586,78.84,1.755,27.781,105.852,-11.716,-12.523,-16.294,-18.752,-19.162,87.543,-54.117,-57.742,4
-14.008,-60.877,-43.676,-11.866,-47.891,64.097,16.726,-2.208,3.86,13.534,8.111,-4.516,-1.635,-33.433,11.335,-2.613,-65.853,71.077,-9.005,16.483,94.988,-20.926,-18.145,-26.524,-26.418,-25.291,74.136,-61.747,-60.758,4
-14.506,-62.353,-46.194,-6.731,-49.38,65.058,-4.296,-0.669,5.905,10.959,5.541,-5.024,-6.244,-32.375,10.299,-5.172,-67.836,73.567,-7.459,15.954,93.356,-21.93,-19.664,-25.985,-27.928,-29.364,72.012,-59.636,-51.476,4
-8.344,-57.68,-48.71,-1.089,-48.819,67.042,-14.538,2.406,9.998,12.485,5.023,-2.457,-5.214,-23.633,13.362,-0.556,-57.01,77.08,-2.841,19.012,101.972,-12.686,-15.034,-18.275,-19.191,-26.26,80.649,-53.429,-42.203,4
-10.897,-56.085,-44.05,-6.211,-54.918,58.778,-7.351,-3.744,-5.894,3.251,-2.666,-10.139,-9.307,-30.782,9.763,-5.166,-60.539,69.83,-6.424,14.894,102.382,-13.186,-17.068,-17.744,-16.611,-21.623,86.204,-50.814,-42.673,4
-2.177,-44.246,-34.785,4.554,-54.863,62.306,8.026,-5.79,-13.06,0.687,-1.127,-11.154,-12.371,-33.313,14.364,-5.674,-62.528,70.785,-2.831,17.953,104.841,-14.198,-16.026,-12.091,-15.057,-16.991,98.413,-41.542,-36.482,4
14.731,-28.32,-34.75,21.968,-44.562,76.588,14.165,2.413,-0.239,11.957,8.096,-2.946,-7.236,-23.546,24.083,4.066,-49.658,79.423,3.831,27.157,114.47,-3.937,-6.276,-0.296,-7.357,-8.265,112.66,-31.254,-30.298,4
